"sys_id","u_region","u_sa3_code","u_state"
"c5933ee9dba82c10d4d3a58405961996","Sale","20505","Victoria"
"c5f0d116db7f94505229e126059619fd","Casey","21202, 21203","Victoria"
"d43311d6db7f94505229e12605961972","McKinlay","31502","Queensland"
"d8b4366ddba82c10d4d3a584059619b2","Batemans Bay","10104","New South Wales"
"d8f9c9ecdb07d8108df5d8c7f496191f","Gladstone","30805","Queensland"
"d907591edb7f94505229e1260596196a","Napranum","31501","Queensland"
"daa7d15edb7f94505229e12605961998","Hope Vale","31501","Queensland"
"dab2da21db9310908df5d8c7f49619dd","Palmerston","70104","Northern Territory"
"dc507ae5dba82c10d4d3a58405961922","Portland","21701","Victoria"
"ddcbc628db126450d4d3a5840596198a","Tennant Creek","70202","Northern Territory"
"e1a9f150db522450d4d3a58405961978","Atherton","30605","Queensland"
"e52d311fdb4f94508df5d8c7f49619c8","Mount Isa","31501","Queensland"
"e5c3b1d8db122450d4d3a584059619bf","Cooktown","31501","Queensland"
"f1039996db7f94505229e12605961927","Flinders","31502","Queensland"
"f1c7370bdbe88010de73bd16f4961997","Brisbane - South","30301, 30305, 30304, 30303, 30302, 30306","Queensland"
"f1c7b70bdbe88010de73bd16f496191b","Toowoomba","31701","Queensland"
"f1c7b70bdbe88010de73bd16f496191e","Dubbo","10501, 10503, 10303","New South Wales"
"f1c7b70bdbe88010de73bd16f4961921","Sydney - Inner West","12002, 12001, 12003","New South Wales"
"f1c7b70bdbe88010de73bd16f4961924","Adelaide - North","40202, 40205, 40201, 40204, 40203","South Australia"
"f1c7b70bdbe88010de73bd16f4961927","Melbourne - North","21002, 20902, 20401, 20901, 21005, 21004, 20904, 21003, 20903","Victoria"
"f1c7b70bdbe88010de73bd16f496192a","Perth - West",,"Western Australia"
"f36cf114db522450d4d3a584059619b8","Timber Creek","70205","Northern Territory"
"f5c7b70bdbe88010de73bd16f496191d","Campbelltown","12302","New South Wales"
"f5c7b70bdbe88010de73bd16f4961920","Sydney - Blacktown","11602, 11601, 11603","New South Wales"
"f5c7b70bdbe88010de73bd16f4961923","Windsor","12404","New South Wales"
"f5c7b70bdbe88010de73bd16f4961926","Bendigo","20202, 20201, 21503, 20203","Victoria"
"f5c7b70bdbe88010de73bd16f4961929","Perth - Fremantle","50703, 50702, 50705, 50704","Western Australia"
"f7a2452adbb52cd05229e1260596196a","Yeppoon","30803","Queensland"
"f83c4a28db126450d4d3a5840596197b","Thursday Island","31501","Queensland"
"f9c7370bdbe88010de73bd16f4961998","Logan - Beaudesert","31104, 31103, 31106, 31102, 31105, 31101","Queensland"
"f9c7b70bdbe88010de73bd16f496191c","Bathurst","10304, 10301, 10302","New South Wales"
"f9c7b70bdbe88010de73bd16f496191f","Nowra","11402, 11401","New South Wales"
"f9c7b70bdbe88010de73bd16f4961922","Taree","10805","New South Wales"
"f9c7b70bdbe88010de73bd16f4961925","Launceston - North East","60203, 60202, 60201","Tasmania"
"f9c7b70bdbe88010de73bd16f4961928","Warrnambool","21704","Victoria"
"fc96d1dadb7f94505229e12605961980","Gawler","40201","South Australia"
"fdc7370bdbe88010de73bd16f4961997","Darling Downs - Maranoa","30701, 30703","Queensland"
"fdc7b70bdbe88010de73bd16f496191b","Wide Bay","31904, 31902","Queensland"
"fdc7b70bdbe88010de73bd16f496191e","Lismore","11202","New South Wales"
"fdc7b70bdbe88010de73bd16f4961921","Sydney - North Shore","12103, 12102, 12101, 12104","New South Wales"
"fdc7b70bdbe88010de73bd16f4961924","Port Augusta - North SA",,"South Australia"
"fdc7b70bdbe88010de73bd16f4961927","Mornington Peninsula","21401, 21402","Victoria"
"fe4a363fdbe75c105229e126059619fa","Temora","11303","New South Wales"
"fe85dd9adb7f94505229e126059619be","Cassowary Coast","30603","Queensland"
